Clave ,Estatus ,Nombre ,R.F.C. ,Calle ,Número interior ,Número exterior ,Entre calle 1 ,Y calle ,Colonia ,Código postal ,Población ,Municipio ,Estado ,País ,Teléfono ,Mail predeterminado ,Días de crédito ,Saldo ,Uso del CFDI ,Nombre comercial ,Estado datos timbrado 
1,Activo,TransMex Cargo,XEXX010101000,817 Willow Creek Dr.,,,,,,49107,,BUCHANAN,MICHIGAN,Estados Unidos (los),,apinvoices@rxo.com,30,0,S01,TransMex Cargo,
2,Activo,Grupo Logístico Azteca,XEXX010101000,"Bosques de Ciruelos 130, Bosques de las Lomas, CDMX",,4965,AVENIDA ACUEDUCTO,REAL DE ACUEDUCTO,PUERTA DE HIERRO,45116,ZAPOPAN,ZAPOPAN,JALISCO,México,,mxinvoice@coyote.com;mexap@coyote.com,15,0,G03,Grupo Logístico Azteca,
3,Activo,Enlace Sureste,XEXX010101000,4907 Prairie Hill Ln.,,,,,,,,STLUIS MO,,Estados Unidos (los),,payables@sunsettrans.com,15,0,S01,Enlace Sureste,
4,Activo,Cargas del Bajío,XEXX010101000,"1210 Lakeview Dr. Suite 204, Dallas, TX",,,,,,78045,,"LAREDO, TEXAS",,Estados Unidos (los),,invoicesmx@transplace.com,15,0,S01,Cargas del Bajío,
5,Activo,FleteExpress MX,XEXX010101000,2501 Maplewood Ave.,,,,,,78501,,McALLEN,TX,Estados Unidos (los),,,30,0,S01,FleteExpress MX,
6,Activo,Soluciones Logísticas Mayab,XEXX010101000,1258 Commerce Way,,,,,,78045,LAREDO,LAREDO,TX,Estados Unidos (los),,,30,0,S01,Soluciones Logísticas Mayab,
7,Activo,Transportes del Norte,XEXX010101000,"Av. de los Industriales 401, Parque Industrial Finsa, Saltillo",NO APLICA,112,OTRA NO ESPECIFICADA EN EL CATALAGO,,,66072,Ciudad General Escobedo,General Escobedo,Nuevo León,México,,cesmexico@ces-mex.com,30,0,G03,Transportes del Norte,
8,Activo,Red Logística Central,XEXX010101000,"Av. Miguel Hidalgo 920, Centro, Guadalajara",B,1320,,,GUADALAJARA CENTRO,88000,,NUEVO LAREDO,"NUEVO LAREDO, TAMAULIPAS",,8677125281,bpacheco@casaduana.com,30,0,G03,Red Logística Central,
9,Activo,LogiPacífico,XEXX010101000,3830 Kingsport Hwy.,14800,,,,,,,TEXAS,"EDEN PRAIRIE,MN",Estados Unidos (los),,,30,0,S01,LogiPacífico,
10,Activo,Carga Conecta,XEXX010101000,"Calle 42, Col. Esperanza, Mérida, Yucatán",2DO PISO,20,NORTE 3, BLVD FUERZA AEREA MEXICANA,FEDERAL,15700,,VENUSTIANO CARRANZA,DEL VENUSTIANO CARRANZA,,,martinezg@fmgold.mx;jimenezp@fmgold.mx,15,0,G03,Carga Conecta,
11,Activo,Autotransportes Teotihuacán,XEXX010101000,"Av. Insurgentes Sur 4210, Tlalpan, CDMX",,2333,,,ZONA LOMA LARGA ORIENTE,66266,,SAN PEDRO GARZA GARCIA,NUEVO LEON,,,jjordaz@deacero.com,30,0,G03,Autotransportes Teotihuacán,
12,Activo,Maya Freight Solutions,XEXX010101000,"Calle Monte Blanco 302, Real del Valle, Zapopan",PISO 5,301,,,REAL DE SAN AGUSTIN,66278,,SAN PEDRO GARZA GARCIA,NUEVO LEON,MEXICO,,contabilidad@fwdlogistica.com,30,0,G03,Maya Freight Solutions,
